fdc_id,description,food_category_id,Cys,His,Ile,Leu,Lys,Met,Phe,Protein_g,Thr,Trp,Tyr,Val,SAA,AAA
334720,"Restaurant, Latino, pupusas con frijoles (pupusas, bean)",25.0,14.311270125223613,30.411449016100182,40.60822898032201,97.13774597495528,54.203935599284435,18.4257602862254,53.66726296958855,5.59,39.35599284436494,10.196779964221825,25.58139534883721,47.76386404293381,32.73703041144901,79.24865831842575
746765,"Cheese, dry white, queso seco",1.0,6.122448979591836,27.551020408163264,47.3469387755102,93.46938775510203,80.0,21.836734693877553,47.755102040816325,24.5,38.775510204081634,12.653061224489795,51.83673469387755,60.40816326530612,27.95918367346939,99.59183673469389
746766,"Cheese, ricotta, whole milk",1.0,23.047375160051217,22.40717029449424,46.734955185659416,100.51216389244559,83.86683738796415,21.766965428937265,34.571062740076826,7.81,50.57618437900128,14.7247119078105,32.010243277848915,41.61331626120359,44.814340588988486,66.58130601792574
746768,"Figs, dried, uncooked",9.0,10.0,10.303030303030305,24.84848484848485,35.151515151515156,24.545454545454547,9.393939393939394,20.909090909090914,3.3,23.636363636363637,5.757575757575758,11.212121212121211,34.24242424242425,19.393939393939394,32.121212121212125
746769,"Lettuce, cos or romaine, raw",11.0,4.838709677419355,16.935483870967744,36.29032258064516,61.29032258064516,51.61290322580645,11.290322580645162,53.225806451612904,1.24,35.483870967741936,8.870967741935484,19.35483870967742,44.35483870967742,16.129032258064516,72.58064516129032
746772,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",1.0,10.650887573964496,29.28994082840237,51.4792899408284,101.18343195266273,91.12426035502959,27.218934911242602,49.70414201183433,3.38,46.74556213017752,13.313609467455622,49.40828402366864,62.1301775147929,37.869822485207095,99.11242603550298
746774,"Restaurant, Chinese, sweet and sour pork",25.0,12.387387387387387,32.31981981981981,42.45495495495495,79.6171171171171,74.66216216216216,23.310810810810807,38.626126126126124,8.88,42.004504504504496,11.486486486486486,28.490990990990987,46.17117117117117,35.69819819819819,67.11711711711712
746776,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",1.0,11.07871720116618,29.44606413994169,53.06122448979592,101.16618075801748,88.0466472303207,27.113702623906704,48.97959183673469,3.43,48.39650145772595,13.994169096209912,48.97959183673469,64.72303206997084,38.19241982507288,97.95918367346938
746778,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",1.0,10.416666666666668,29.46428571428572,51.488095238095234,99.70238095238096,87.20238095238095,26.488095238095237,48.511904761904766,3.36,48.214285714285715,12.5,49.10714285714286,63.39285714285714,36.904761904761905,97.61904761904762
746779,"Sausage, breakfast sausage, beef, pre-cooked, unprepared",7.0,12.781954887218046,26.31578947368421,34.58646616541353,69.92481203007519,71.42857142857143,19.548872180451127,45.11278195488722,13.3,37.59398496240601,9.022556390977442,29.32330827067669,39.849624060150376,32.330827067669176,74.4360902255639
746782,"Milk, whole, 3.25% milkfat, with added vitamin D",1.0,11.620795107033638,29.66360856269113,52.90519877675841,101.8348623853211,91.131498470948,27.52293577981651,49.235474006116206,3.27,47.09480122324159,13.149847094801222,49.54128440366973,63.302752293577974,39.14373088685015,98.77675840978594
746783,"Sausage, turkey, breakfast links, mild, raw",7.0,11.377245508982037,25.149700598802397,38.92215568862276,74.25149700598803,84.4311377245509,26.94610778443114,49.10179640718563,16.7,42.51497005988024,8.982035928143713,33.53293413173653,38.92215568862276,38.32335329341318,82.63473053892216
747447,"Broccoli, raw",11.0,10.894941634241246,22.957198443579767,30.739299610894943,50.19455252918288,52.52918287937744,14.785992217898833,45.525291828793776,2.57,34.24124513618678,12.84046692607004,19.455252918287943,48.63813229571984,25.68093385214008,64.98054474708172
747997,"Eggs, Grade A, Large, egg white",1.0,38.03738317757009,24.01869158878505,56.91588785046729,95.32710280373833,76.82242990654206,45.42056074766356,67.85046728971963,10.7,52.99065420560748,17.570093457943926,43.55140186915889,72.80373831775702,83.45794392523365,111.40186915887853
748236,"Eggs, Grade A, Large, egg yolk",1.0,26.23456790123457,22.77777777777778,47.28395061728395,83.33333333333334,74.07407407407408,24.567901234567902,41.543209876543216,16.2,48.70370370370371,10.74074074074074,42.22222222222223,52.22222222222223,50.80246913580247,83.76543209876544
748967,"Eggs, Grade A, Large, egg whole",1.0,31.048387096774192,22.82258064516129,49.677419354838705,84.67741935483872,67.09677419354838,33.70967741935483,53.225806451612904,12.4,47.90322580645161,13.387096774193548,41.29032258064516,59.19354838709677,64.75806451612902,94.51612903225806
1104705,"Flour, soy, defatted",16.0,19.765166340508806,24.853228962818005,45.205479452054796,80.43052837573386,59.88258317025441,12.17221135029354,55.96868884540117,51.1,38.551859099804304,12.054794520547944,34.05088062622309,45.205479452054796,31.937377690802347,90.01956947162427
1104766,"Flour, soy, full-fat",16.0,19.818652849740932,24.61139896373057,45.07772020725388,79.27461139896373,55.44041450777202,12.564766839378237,55.69948186528497,38.6,38.34196891191709,11.658031088082902,36.269430051813465,45.07772020725388,32.383419689119165,91.96891191709844
1750337,"Soy milk, unsweetened, plain, shelf stable",16.0,16.21145374449339,27.48898678414097,40.881057268722465,70.31541850220265,62.195594713656384,13.039647577092511,49.33920704845814,3.546875,36.116299559471365,13.039647577092511,34.903964757709254,40.007048458149775,29.2511013215859,84.2431718061674
1999630,"Soy milk, unsweetened, plain, shelf stable",16.0,16.21145374449339,27.48898678414097,40.881057268722465,70.31541850220265,62.195594713656384,13.039647577092511,49.33920704845814,3.546875,36.116299559471365,13.039647577092511,34.903964757709254,40.007048458149775,29.2511013215859,84.2431718061674
2257044,"Soy milk, sweetened, plain, refrigerated",16.0,17.49088453747468,36.01170380373622,36.01170380373622,72.02340760747244,72.02340760747244,11.83344586990772,56.57438667566959,2.776875,36.01170380373622,12.348413234301148,36.01170380373622,36.51586765698852,29.3243304073824,92.58609047940581
2262072,"Peanut butter, creamy",16.0,21.416150228166615,28.189455818040248,38.34733010882305,78.40361732032191,39.651972970134096,12.087745360389874,62.56450271015587,23.99124,33.60810028993916,9.53681427054208,44.349520908464925,46.51697869722449,33.50389558855649,106.9140236186208
2262073,"Sesame butter, creamy",12.0,38.126604890030144,31.336587940361525,43.58196230474895,83.68264536624478,34.12770103626417,37.49226100459772,56.63422209140642,19.7054,46.49994417773808,15.670831345722492,42.4401433109706,55.822261918052924,75.61886589462787,99.07436540237703
2262074,"Almond butter, creamy",12.0,21.5900639523864,30.730242541854803,44.738768885292686,84.33017403862158,31.09103906512329,9.082451145745438,66.5789850938119,20.78734,37.46511097619994,9.44324766901393,36.56071435787359,52.62818619409699,30.67251509813184,103.13969945168549
2262075,"Flaxseed, ground",12.0,30.633347933843055,28.487627454133147,51.97966278367034,76.51406361756273,51.70243791549076,22.3166018884558,61.876590577681185,18.0359,51.63590394712767,16.7055705565012,31.742247406561354,63.0963799976713,52.949949822298855,93.61883798424253
2346392,"Nuts, pine nuts, raw",12.0,29.928871172129213,23.561026241888957,36.08657721967155,69.85525888473563,37.360146205719595,21.013888269792854,37.78042397111546,15.7039,29.718732289431287,9.341628512662458,37.360146205719595,46.91191360107998,50.942759441922064,75.14057017683506
2346393,"Nuts, almonds, whole, raw",12.0,23.30961036587697,25.54733296100116,36.08327684637755,69.36940044884986,28.810678412223936,7.179359992690106,55.849826436641216,21.45038,28.344486204906392,9.696797912204818,29.37010906100498,42.70320619028661,30.488970358567077,85.21993549764619
2346394,"Nuts, walnuts, English, halves, raw",12.0,25.864436571365797,23.571173546455743,35.70349619620445,68.43398972837879,26.09101645107248,13.04550822553624,41.65636758122545,14.5644,30.437230507264292,8.69929416934443,29.52404493147675,40.96976188514461,38.90994479690204,71.1804125127022
2346395,"Nuts, pecans, halves, raw",12.0,30.626487392932813,26.358862100474962,36.651370158755654,67.27785755168847,32.132708084388526,16.819464387922118,46.44180465321779,9.9587,30.375450611023524,11.547691967827125,31.37959773866067,43.68040005221565,47.44595178085493,77.82140239187845
